Year,TSX_change,s_p_change,Inflation,TSX_adj_for_infl,Source: https://ca.finance.yahoo.com/quote/%5EGSPTSE/history?period1=299476800&period2=1523764800&interval=1mo&filter=history&frequency=1mo
1980,25.12,25.77,11.06,22.52,xref: http://www.1stock1.com/1stock1_766.htm
1981,-13.86,-9.73,12.12,-12.47,
1982,0.2,14.76,9.27,0.1,
1983,30.35,17.27,4.59,28.97,
1984,-5.96,1.4,3.72,-5.78,
1985,20.84,26.33,4.4,19.92,
1986,5.71,14.62,4.21,5.44,
1987,3.06,2.03,4.19,2.9,
1988,7.28,12.4,3.88,6.97,
1989,17.1,27.25,5.26,16.2,
1990,-17.96,-6.56,4.99,-17.15,
1991,8.12,26.31,3.75,7.79,
1992,-4.61,4.46,2.17,-4.53,
1993,28.98,7.06,1.65,28.49,
1994,-2.49,-1.54,0.23,-2.49,
1995,11.86,34.11,1.74,11.64,
1996,25.75,20.26,2.16,25.18,
1997,13.03,31.01,0.78,12.92,
1998,-3.19,26.67,1,-3.17,
1999,29.72,19.53,2.63,28.93,
2000,6.18,-10.14,3.2,5.96,
2001,-13.94,-13.04,0.72,-13.85,
2002,-13.97,-23.37,3.8,-13.5,
2003,24.29,26.38,2.08,23.77,
2004,12.48,8.99,2.13,12.2,
2005,21.91,3,2.09,21.44,
2006,14.51,13.62,1.67,14.26,
2007,7.16,3.53,2.38,6.97,
2008,-35.03,-38.49,1.16,-34.64,
2009,30.69,23.45,1.32,30.28,
2010,14.45,12.78,2.35,14.1,
2011,-11.07,0,2.3,-10.84,
2012,4,13.41,0.83,3.96,
2013,9.56,29.6,1.24,9.43,
2014,7.42,11.39,1.47,7.3,
2015,-11.09,-0.73,1.61,-10.93,
2016,17.51,9.54,1.5,17.24,
2017,6.03,19.42,1.87,5.9,
